problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,Mono,1,SOLAR+AC0-Inc,0,6,3179,1556,60755,123268,0,0,0,0,1556,60755,123268,0,0,0,0,1556,60755,123268,0,0,0,0,1556,60755,123268,0,0,0,0
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,Mono,1,Solar+AC0-Carc,0,0,699,255,138,277,0,0,0,0,255,138,277,0,0,0,0,255,138,277,0,0,0,0,255,138,277,0,0,0,0
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,0,600538,149175,3908023,22806517,0,0,80,56888,84735,2111862,11473714,0,0,25,25812,575,8060,50588,0,0,16,1475,18285,203083,1505257,0,0,25,25558
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600660,9143,330957,1595467,0,0,16,2854,7284,274558,1413392,0,0,7,1260,30,341,1393,0,0,3,52,555,9460,51801,0,0,3,819
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,600591,4124,64586,303071,0,0,13,4135,3721,63095,298561,0,0,7,3860,61,6,28,0,0,2,3,123,138,627,0,0,2,88
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,600299,16253,455191,2324756,0,0,12,2657,11157,228272,1334699,0,0,3,1553,118,631,3284,0,0,3,138,118,631,3284,0,0,3,138
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600516,33959,330957,1595467,0,0,16,2854,31214,274558,1413392,0,0,7,1260,27,341,1393,0,0,3,52,1051,9460,51801,0,0,3,819
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,0,2877,1923,2419,9111,0,0,562,558,666,1682,5414,0,0,228,227,277,43,332,0,0,57,56,369,64,416,0,0,69,68
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,600139,14293,64586,303071,0,0,13,4135,13897,63095,298561,0,0,7,3860,67,6,28,0,0,2,3,111,138,627,0,0,2,88
medium+AF8-TPnaiveshortdist+AF8-per5+AF8-seuil1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,600384,87927,455191,2324756,0,0,12,2657,76514,228272,1334699,0,0,3,1553,209,631,3284,0,0,3,138,209,631,3284,0,0,3,138
