problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,3,680,660,6433,16017,0,0,0,0,660,6433,16017,0,0,0,0,660,6433,16017,0,0,0,0,660,6433,16017,0,0,0,0
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,3,668,649,6433,16017,0,0,0,0,649,6433,16017,0,0,0,0,649,6433,16017,0,0,0,0,649,6433,16017,0,0,0,0
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,3,659,642,6433,16017,0,0,0,0,642,6433,16017,0,0,0,0,642,6433,16017,0,0,0,0,642,6433,16017,0,0,0,0
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,3,1429,416,1320,3469,0,0,24,29,128,641,1684,0,0,12,15,50,46,116,0,0,4,3,128,483,1295,0,0,12,15
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,3,1376,286,389,1016,0,0,19,15,107,204,533,0,0,7,6,49,29,75,0,0,1,0,71,105,280,0,0,7,6
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,3,1399,402,1278,3368,0,0,22,34,134,654,1724,0,0,11,16,48,46,115,0,0,3,5,109,475,1271,0,0,4,7
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,3,1385,451,1325,3501,0,0,26,34,132,641,1684,0,0,13,18,81,46,116,0,0,4,3,125,519,1382,0,0,5,7
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,3,1380,518,1220,3221,0,0,22,33,162,641,1684,0,0,11,18,67,61,173,0,0,3,3,152,415,1106,0,0,4,7
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,3,1388,436,1326,3492,0,0,26,38,151,645,1697,0,0,7,11,49,50,130,0,0,5,7,131,478,1281,0,0,7,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,1400,504,1265,3330,0,0,17,20,153,641,1684,0,0,6,7,85,46,116,0,0,2,3,153,475,1272,0,0,6,7
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,3,1385,400,1279,3375,0,0,22,38,119,647,1704,0,0,7,12,61,48,122,0,0,5,8,103,478,1281,0,0,5,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,3,1387,402,1279,3375,0,0,25,38,122,647,1704,0,0,8,12,62,48,122,0,0,5,8,98,478,1281,0,0,6,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,3,1400,412,1279,3375,0,0,24,38,123,647,1704,0,0,8,12,73,48,122,0,0,5,8,95,478,1281,0,0,6,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,3,1387,412,1279,3375,0,0,23,38,126,647,1704,0,0,7,12,62,48,122,0,0,5,8,99,478,1281,0,0,6,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,3,1388,417,1326,3492,0,0,25,38,147,645,1697,0,0,7,11,48,50,130,0,0,5,7,113,478,1281,0,0,6,10
glucolysis+AF8-max+AC0-4+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,3,1396,418,1326,3492,0,0,24,38,153,645,1697,0,0,7,11,50,50,130,0,0,4,7,106,478,1281,0,0,6,10
