problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,49,605753,600069,819278,4836352,0,0,0,0,600069,819278,4836352,0,0,0,0,600069,819278,4836352,0,0,0,0,600069,819278,4836352,0,0,0,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,49,605506,599884,818266,4830208,0,0,0,0,599884,818266,4830208,0,0,0,0,599884,818266,4830208,0,0,0,0,599884,818266,4830208,0,0,0,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,0,600257,53,49,204,0,0,4,15,53,49,204,0,0,2,15,0,0,0,0,0,2,0,0,0,0,0,0,2,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600255,52,49,204,0,0,3,13,52,49,204,0,0,2,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,4,600258,52,49,204,0,0,4,17,52,49,204,0,0,3,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,0,600400,163951,1372,62440,0,0,14,22,163904,1341,62306,0,0,7,20,0,0,0,0,0,2,0,13,26,112,0,0,7,20
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,0,600322,53,49,204,0,0,4,15,53,49,204,0,0,2,15,0,0,0,0,0,2,0,0,0,0,0,0,2,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600266,52,49,204,0,0,3,13,52,49,204,0,0,2,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,4,600263,52,49,204,0,0,4,17,52,49,204,0,0,3,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,0,600417,163664,1372,62440,0,0,15,28,163616,1341,62306,0,0,7,20,0,0,0,0,0,2,0,14,26,112,0,0,7,20
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600367,157,362,1488,0,0,16,26,115,351,1440,0,0,7,17,4,2,10,0,0,3,2,115,351,1440,0,0,3,17
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600467,52,33,144,0,0,10,16,35,25,109,0,0,4,11,0,0,0,0,0,2,0,13,25,109,0,0,2,11
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,4,150229,148457,1712,63636,0,0,22,38,148406,1679,63492,0,0,11,22,5,3,13,0,0,3,2,12,25,109,0,0,4,11
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,600367,51,33,143,0,0,9,16,34,26,112,0,0,3,12,0,0,0,0,0,2,0,13,26,112,0,0,3,12
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,5,600396,163891,1371,62437,0,0,14,39,163844,1341,62306,0,0,5,23,0,0,0,0,0,1,0,13,25,109,0,0,5,23
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,0,600457,159,361,1525,0,0,8,29,120,352,1487,0,0,2,23,0,0,0,0,0,2,0,120,352,1487,0,0,2,23
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,0,600364,158,361,1525,0,0,7,29,119,352,1487,0,0,2,23,0,0,0,0,0,1,0,119,352,1487,0,0,2,23
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,0,600369,157,361,1525,0,0,10,29,119,352,1487,0,0,3,23,0,0,0,0,0,2,0,119,352,1487,0,0,3,23
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,0,600364,159,361,1525,0,0,9,29,120,352,1487,0,0,3,23,0,0,0,0,0,2,0,120,352,1487,0,0,3,23
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,0,600365,51,33,143,0,0,8,16,34,26,112,0,0,2,12,0,0,0,0,0,2,0,13,26,112,0,0,2,12
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,0,600362,51,33,143,0,0,7,16,34,26,112,0,0,2,12,0,0,0,0,0,1,0,13,26,112,0,0,2,12
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,0,600378,55,33,143,0,0,10,16,37,26,112,0,0,3,12,0,0,0,0,0,2,0,14,26,112,0,0,3,12
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Async,0,27,600746,102185,463656,3271866,0,0,182,1014,81751,406547,2952110,0,0,54,307,5,6,33,0,0,6,22,5,6,33,0,0,6,27
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star,0,0,600435,145,277,1138,0,0,46,81,50,152,623,0,0,20,25,0,0,0,0,0,2,0,15,18,75,0,0,20,24
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600441,432859,1381,36949,0,0,42,70,432792,1301,36600,0,0,19,40,0,0,0,0,0,2,0,0,0,0,0,0,3,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600561,147,277,1121,0,0,46,81,52,152,606,0,0,20,25,0,0,0,0,0,2,0,0,0,0,0,0,2,0
