problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,55,604281,599839,18160387,132713472,0,0,0,0,599839,18160387,132713472,0,0,0,0,599839,18160387,132713472,0,0,0,0,599839,18160387,132713472,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,55,604606,599837,18130381,132485120,0,0,0,0,599837,18130381,132485120,0,0,0,0,599837,18130381,132485120,0,0,0,0,599837,18130381,132485120,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,58,604510,599841,18447275,134832128,0,0,0,0,599841,18447275,134832128,0,0,0,0,599841,18447275,134832128,0,0,0,0,599841,18447275,134832128,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,2,1105,189,206,923,0,0,8,14,178,191,876,0,0,5,10,11,15,47,0,0,3,4,11,15,47,0,0,5,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,10,1095,186,206,923,0,0,6,22,175,191,876,0,0,4,20,11,15,47,0,0,2,2,11,15,47,0,0,2,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,10,1111,181,206,923,0,0,6,24,170,191,876,0,0,3,20,11,15,47,0,0,3,4,11,15,47,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,10,2097,641,231,1032,0,0,141,148,424,191,876,0,0,136,144,217,40,156,0,0,5,4,217,40,156,0,0,5,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,2,1126,62,14,52,0,0,18,11,47,4,18,0,0,9,8,4,3,10,0,0,3,1,6,4,18,0,0,9,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,2,1152,71,13,50,0,0,23,20,48,4,18,0,0,8,8,6,3,10,0,0,5,4,7,4,18,0,0,8,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1127,63,12,46,0,0,18,8,43,4,18,0,0,9,4,4,2,7,0,0,3,1,6,4,18,0,0,3,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1127,62,12,46,0,0,18,8,43,4,18,0,0,9,4,5,2,7,0,0,3,1,5,4,18,0,0,3,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,1,1129,61,13,49,0,0,17,11,45,4,18,0,0,5,4,3,2,7,0,0,4,2,8,4,18,0,0,4,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,2,1127,69,14,54,0,0,20,20,47,4,18,0,0,5,8,6,3,11,0,0,5,4,6,4,18,0,0,5,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-3+AC0-0,0,1,1128,59,13,49,0,0,16,11,45,4,18,0,0,5,4,4,3,10,0,0,3,2,6,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-1+AC0-0,0,1,1129,62,13,49,0,0,15,11,44,4,18,0,0,5,4,4,2,7,0,0,3,2,5,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-1+AC0-0+AC0-2,0,1,1127,61,13,49,0,0,14,11,43,4,18,0,0,5,4,4,2,7,0,0,3,2,5,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-2+AC0-1,0,1,1129,61,13,49,0,0,14,11,46,4,18,0,0,5,4,4,3,10,0,0,3,2,7,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,1,1131,62,13,49,0,0,16,11,47,4,18,0,0,5,4,4,2,7,0,0,3,2,6,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-0+AC0-3+AC0-1,0,1,1127,63,13,50,0,0,16,11,46,4,18,0,0,5,4,5,3,10,0,0,3,2,6,4,18,0,0,4,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-1+AC0-2+AC0-0,0,1,1129,63,13,50,0,0,14,11,46,4,18,0,0,5,4,5,3,10,0,0,3,2,5,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,7,DICF+AC0-PB+AC0-Async,0,5,1173,77,22,79,0,0,16,21,55,9,36,0,0,4,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0
