problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ008-3.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Star;0;2;1178;192;206;923;0;0;8;14;180;191;876;0;0;5;10;12;15;47;0;0;3;4;12;15;47;0;0;5;4
PUZ008-3.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;10;1133;193;206;923;0;0;6;22;181;191;876;0;0;4;20;12;15;47;0;0;2;2;12;15;47;0;0;2;2
PUZ008-3.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Async;0;10;1148;178;206;923;0;0;6;24;167;191;876;0;0;3;20;11;15;47;0;0;3;4;11;15;47;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;10;3140;680;245;1088;0;0;139;146;419;191;876;0;0;136;144;261;54;212;0;0;3;2;261;54;212;0;0;3;2
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Star;0;2;1187;64;14;52;0;0;18;11;48;4;18;0;0;9;8;4;3;10;0;0;3;1;7;4;18;0;0;9;8
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-NewAsync;0;2;1174;73;13;50;0;0;23;20;46;4;18;0;0;8;8;8;2;7;0;0;5;4;9;4;18;0;0;8;8
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-1;0;1;1168;62;12;46;0;0;18;8;44;4;18;0;0;9;4;3;2;7;0;0;3;1;5;4;18;0;0;3;2
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-2;0;1;1163;61;12;46;0;0;18;8;44;4;18;0;0;9;4;4;2;7;0;0;3;1;5;4;18;0;0;3;2
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token;0;1;1171;61;13;49;0;0;17;11;46;4;18;0;0;5;4;3;2;7;0;0;4;2;7;4;18;0;0;4;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Async;0;2;1170;63;14;53;0;0;20;20;46;4;18;0;0;5;8;5;3;11;0;0;5;4;6;4;18;0;0;5;8
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-2-1-3-0;0;1;1171;59;13;49;0;0;16;11;44;4;18;0;0;5;4;4;3;10;0;0;3;2;7;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-2-3-1-0;0;1;1171;62;13;49;0;0;15;11;43;4;18;0;0;5;4;4;2;7;0;0;3;2;6;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-1-0-2;0;1;1170;61;13;49;0;0;14;11;42;4;18;0;0;5;4;4;2;7;0;0;3;2;6;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-0-2-1;0;1;1170;60;13;49;0;0;14;11;45;4;18;0;0;5;4;4;3;10;0;0;3;2;7;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-1-2-3-0;0;1;1171;61;13;49;0;0;16;11;46;4;18;0;0;5;4;3;2;7;0;0;3;2;7;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-2-0-3-1;0;1;1171;64;13;50;0;0;16;11;46;4;18;0;0;5;4;5;3;10;0;0;3;2;6;4;18;0;0;4;4
PUZ008-3.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-1-2-0;0;1;1173;65;13;50;0;0;14;11;47;4;18;0;0;5;4;5;3;10;0;0;3;2;6;4;18;0;0;3;4
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Async;0;5;1299;72;22;79;0;0;16;21;53;9;36;0;0;4;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-NewAsync;0;5;1277;111;21;81;0;0;28;25;66;9;36;0;0;16;19;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star;0;1;1259;63;19;70;0;0;27;11;47;9;36;0;0;12;5;0;0;0;0;0;2;0;3;5;17;0;0;12;4
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-1;0;1;1257;66;18;66;0;0;25;9;47;9;36;0;0;11;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-2;0;1;1257;63;19;70;0;0;27;11;47;9;36;0;0;12;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-3;0;1;1257;63;19;70;0;0;27;11;47;9;36;0;0;12;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-4;0;1;1256;64;19;70;0;0;27;11;48;9;36;0;0;12;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-5;0;1;1256;66;18;66;0;0;21;9;53;9;36;0;0;9;5;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Star-FixedRoot-6;0;5;1256;67;22;78;0;0;25;17;53;9;36;0;0;11;15;0;0;0;0;0;2;0;0;0;0;0;0;2;0
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Token;0;1;1264;70;26;94;0;0;28;19;51;9;36;0;0;5;10;1;1;4;0;0;3;1;3;5;16;0;0;4;2
PUZ008-3.C1i2_all_ld-1--1;_kmet8;7;DICF-PB-Async;0;5;1282;72;22;79;0;0;16;21;53;9;36;0;0;4;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0
