problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar;0;3;588;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;SOLAR-Inc;0;3;3915;1365;6697;15395;0;0;0;0;1365;6697;15395;0;0;0;0;1365;6697;15395;0;0;0;0;1365;6697;15395;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar-Carc;0;3;587;296;735;1828;0;0;0;0;296;735;1828;0;0;0;0;296;735;1828;0;0;0;0;296;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar;0;3;593;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0;293;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;3;1224;195;184;542;0;0;18;18;159;163;448;0;0;10;9;36;21;94;0;0;8;9;159;163;448;0;0;8;9
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;3;1218;195;184;542;0;0;18;18;159;163;448;0;0;10;9;36;21;94;0;0;8;9;159;163;448;0;0;8;9
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;3;1219;193;184;542;0;0;18;18;158;163;448;0;0;10;9;35;21;94;0;0;8;9;158;163;448;0;0;8;9
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;3;1222;195;184;542;0;0;18;18;159;163;448;0;0;10;9;36;21;94;0;0;8;9;159;163;448;0;0;8;9
PUZ012-1.C1i2_all_ld-1-2;_kmet8;8;DICF-PB-Star;0;0;600766;86467;229970;31412483;0;0;61;18990;59114;152264;30675652;0;0;30;18598;0;0;0;0;0;2;0;26283;76580;731797;0;0;30;18598
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar;0;3;605;297;735;1828;0;0;0;0;297;735;1828;0;0;0;0;297;735;1828;0;0;0;0;297;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;SOLAR-Inc;0;3;4152;1433;6697;15395;0;0;0;0;1433;6697;15395;0;0;0;0;1433;6697;15395;0;0;0;0;1433;6697;15395;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar-Carc;0;3;635;309;735;1828;0;0;0;0;309;735;1828;0;0;0;0;309;735;1828;0;0;0;0;309;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;Mono;1;Solar;0;3;620;303;735;1828;0;0;0;0;303;735;1828;0;0;0;0;303;735;1828;0;0;0;0;303;735;1828;0;0;0;0
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Star;0;3;1219;166;184;525;0;0;6;15;154;169;473;0;0;4;9;12;15;52;0;0;2;6;154;169;473;0;0;4;6
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;3;1218;167;187;534;0;0;8;15;153;169;473;0;0;5;9;14;18;61;0;0;3;6;153;169;473;0;0;3;6
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-Async;0;3;1225;168;184;525;0;0;6;15;156;169;473;0;0;3;9;12;15;52;0;0;3;6;156;169;473;0;0;3;6
PUZ012-1.C1i2_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;3;1223;210;184;542;0;0;18;18;171;163;448;0;0;10;9;39;21;94;0;0;8;9;171;163;448;0;0;8;9
PUZ012-1.C1i2_all_ld-1--1;_kmet4;4;DICF-PB-DICF-PB-Star;0;0;600497;51;6;19;0;0;5;3;51;6;19;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0
