problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,Mono,1,Solar+AC0-Carc,0,1,537,53,5,14,0,0,0,0,53,5,14,0,0,0,0,53,5,14,0,0,0,0,53,5,14,0,0,0,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,Mono,1,SOLAR+AC0-Inc,0,1,516,54,5,14,0,0,0,0,54,5,14,0,0,0,0,54,5,14,0,0,0,0,54,5,14,0,0,0,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,2632,131,214,713,0,0,7,56,103,139,471,0,0,4,28,28,75,242,0,0,3,28,28,75,242,0,0,3,28
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,2618,130,214,713,0,0,8,55,102,139,471,0,0,5,28,28,75,242,0,0,3,27,28,75,242,0,0,5,28
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,2609,132,214,713,0,0,8,55,103,139,471,0,0,5,28,29,75,242,0,0,3,27,29,75,242,0,0,3,27
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,1,600765,2285,16320,85865,0,0,12,1189,1612,15380,79839,0,0,4,1105,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,0,600860,659,944,6055,0,0,14,580,602,936,6003,0,0,6,568,0,0,0,0,0,2,0,4,4,29,0,0,6,8
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600941,675,940,6026,0,0,10,572,623,936,6003,0,0,4,568,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,601034,2735,51552,259916,0,0,17,1342,1241,28962,157381,0,0,8,664,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,600291,2165,16320,85865,0,0,13,1147,1492,15380,79839,0,0,6,1104,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,600920,2785,51553,259922,0,0,14,1242,1301,28962,157381,0,0,4,613,1,1,6,0,0,3,1,1,1,6,0,0,4,1
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,0,600293,2054,19631,100063,0,0,12,855,1101,15333,79478,0,0,3,542,4,4,29,0,0,3,4,4,4,29,0,0,3,4
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,0,600327,2106,19631,100063,0,0,9,855,1152,15333,79478,0,0,3,542,4,4,29,0,0,2,4,4,4,29,0,0,2,4
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,0,600700,2724,51553,259922,0,0,13,1242,1315,28962,157381,0,0,4,613,1,1,6,0,0,3,1,1,1,6,0,0,3,1
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,0,600773,2110,19631,100063,0,0,10,855,1159,15333,79478,0,0,3,542,4,4,29,0,0,2,4,4,4,29,0,0,2,4
PUZ012+AC0-1.C2i1+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,0,601058,2853,51553,259922,0,0,16,1242,1376,28962,157381,0,0,4,613,1,1,6,0,0,4,1,1,1,6,0,0,4,1
