problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,2,146,85,2,14,0,0,0,0,85,2,14,0,0,0,0,85,2,14,0,0,0,0,85,2,14,0,0,0,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,2,153,85,2,14,0,0,0,0,85,2,14,0,0,0,0,85,2,14,0,0,0,0,85,2,14,0,0,0,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,2,159,91,2,14,0,0,0,0,91,2,14,0,0,0,0,91,2,14,0,0,0,0,91,2,14,0,0,0,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,2,1359,63,4,25,0,0,6,4,53,2,14,0,0,4,2,10,2,11,0,0,2,2,10,2,11,0,0,4,2
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,2,1229,82,2,14,0,0,6,2,82,2,14,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,2,1223,77,2,14,0,0,3,2,77,2,14,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,2,1220,81,2,14,0,0,3,2,81,2,14,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,2,1521,74,4,25,0,0,14,5,71,2,14,0,0,7,3,0,0,0,0,0,2,0,3,2,11,0,0,7,3
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,2,1310,75,2,14,0,0,5,2,75,2,14,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,2,1218,55,4,25,0,0,14,5,48,2,14,0,0,7,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,2,1289,72,2,14,0,0,12,2,72,2,14,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,2,1319,80,4,25,0,0,14,5,76,2,14,0,0,7,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,2,1227,62,8,47,0,0,12,10,51,2,14,0,0,4,4,1,2,11,0,0,2,2,1,2,11,0,0,3,2
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,2,1308,72,2,14,0,0,5,2,72,2,14,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,2,1239,72,8,47,0,0,15,11,60,2,14,0,0,5,4,1,2,11,0,0,3,2,1,2,11,0,0,3,2
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,2,1302,90,8,47,0,0,14,11,74,2,14,0,0,5,4,3,2,11,0,0,3,2,3,2,11,0,0,3,2
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,2,1221,60,8,47,0,0,17,11,48,2,14,0,0,5,4,2,2,11,0,0,4,2,2,2,11,0,0,4,2
PUZ018+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,2,1317,92,8,47,0,0,16,11,75,2,14,0,0,5,4,3,2,11,0,0,3,2,3,2,11,0,0,4,2
