problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Inc,0,1,1681,220,1,18,0,0,0,0,220,1,18,0,0,0,0,220,1,18,0,0,0,0,220,1,18,0,0,0,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-TrueNc,0,1,575,69,1,18,0,0,0,0,69,1,18,0,0,0,0,69,1,18,0,0,0,0,69,1,18,0,0,0,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,1,96,85,1,18,0,0,0,0,85,1,18,0,0,0,0,85,1,18,0,0,0,0,85,1,18,0,0,0,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,2181,78,1,18,0,0,3,1,78,1,18,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,1127,82,2,36,0,0,6,2,61,1,18,0,0,4,1,21,1,18,0,0,2,1,21,1,18,0,0,4,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1447,83,1,18,0,0,6,1,83,1,18,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Async,0,1,1300,44,1,18,0,0,9,1,44,1,18,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star,0,1,1293,55,2,36,0,0,24,2,45,1,18,0,0,10,1,0,0,0,0,0,2,0,10,1,18,0,0,10,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1266,63,2,36,0,0,24,2,53,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1277,49,2,36,0,0,24,2,46,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,1,1264,51,2,36,0,0,24,2,45,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-4,0,1,1543,63,2,36,0,0,24,2,56,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-5,0,1,1626,70,2,36,0,0,24,2,61,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-6,0,1,1268,59,2,36,0,0,24,2,49,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-7,0,1,1280,63,1,18,0,0,24,1,63,1,18,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-7+AC0-6+AC0-5+AC0-4+AC0-3+AC0-2+AC0-1+AC0-0,0,1,1284,81,8,144,0,0,18,9,44,1,18,0,0,4,2,3,1,18,0,0,2,1,9,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-4+AC0-5+AC0-6+AC0-7+AC0-0,0,1,1305,86,8,144,0,0,24,9,44,1,18,0,0,4,2,3,1,18,0,0,2,1,10,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-4+AC0-5+AC0-6+AC0-7+AC0-0+AC0-1,0,1,1360,117,8,144,0,0,23,9,61,1,18,0,0,4,2,5,1,18,0,0,2,1,17,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-4+AC0-5+AC0-6+AC0-7+AC0-0+AC0-1+AC0-2,0,1,1321,85,8,144,0,0,22,9,45,1,18,0,0,4,2,3,1,18,0,0,2,1,10,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-4+AC0-5+AC0-6+AC0-7+AC0-3+AC0-1+AC0-0,0,1,1360,84,8,144,0,0,22,9,46,1,18,0,0,4,2,3,1,18,0,0,2,1,11,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-6+AC0-4+AC0-5+AC0-2+AC0-3+AC0-1+AC0-0+AC0-7,0,1,1313,98,8,144,0,0,25,9,52,1,18,0,0,4,2,3,1,18,0,0,3,1,12,1,18,0,0,3,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet8,8,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-4+AC0-5+AC0-6+AC0-7+AC0-0+AC0-1+AC0-2+AC0-3,0,1,1285,108,8,144,0,0,21,9,56,1,18,0,0,4,2,4,1,18,0,0,2,1,18,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,1,1191,46,1,18,0,0,5,1,46,1,18,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,1,1181,76,2,36,0,0,12,2,60,1,18,0,0,6,1,0,0,0,0,0,2,0,16,1,18,0,0,6,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1166,73,2,36,0,0,12,2,59,1,18,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1197,62,1,18,0,0,12,1,62,1,18,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,1,1173,69,2,36,0,0,12,2,60,1,18,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,1,1187,106,4,72,0,0,11,5,74,1,18,0,0,4,2,7,1,18,0,0,2,1,13,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,1,1188,100,4,72,0,0,11,5,60,1,18,0,0,4,2,9,1,18,0,0,2,1,18,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,1,1190,80,4,72,0,0,10,5,49,1,18,0,0,4,2,10,1,18,0,0,2,1,10,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,1,1176,73,4,72,0,0,13,5,49,1,18,0,0,4,2,6,1,18,0,0,3,1,11,1,18,0,0,3,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-1+AC0-0,0,1,1183,82,4,72,0,0,10,5,54,1,18,0,0,4,2,7,1,18,0,0,2,1,9,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token,0,1,1233,84,6,108,0,0,19,7,50,1,18,0,0,4,2,4,1,18,0,0,3,1,11,1,18,0,0,3,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-4+AC0-5+AC0-0,0,1,1253,77,6,108,0,0,18,7,47,1,18,0,0,4,2,3,1,18,0,0,2,1,8,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-4+AC0-5+AC0-0+AC0-1,0,1,1206,70,6,108,0,0,17,7,42,1,18,0,0,4,2,4,1,18,0,0,2,1,8,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-4+AC0-5+AC0-0+AC0-1+AC0-2,0,1,1244,75,6,108,0,0,16,7,45,1,18,0,0,4,2,4,1,18,0,0,2,1,9,1,18,0,0,2,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-1+AC0-0+AC0-5+AC0-4,0,1,1209,88,6,108,0,0,18,7,53,1,18,0,0,4,2,5,1,18,0,0,2,1,8,1,18,0,0,3,1
PUZ019+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-5+AC0-0+AC0-1+AC0-2+AC0-3+AC0-4,0,1,1211,94,6,108,0,0,14,7,56,1,18,0,0,4,2,4,1,18,0,0,2,1,11,1,18,0,0,2,1
