problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,sOLAR,0,1,303,190,30,102,0,0,0,0,190,30,102,0,0,0,0,190,30,102,0,0,0,0,190,30,102,0,0,0,0
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent2,2,DICF+AC0-PB+AC0-Star,0,1,1374,204,67,262,0,0,8,7,192,49,195,0,0,5,5,12,18,67,0,0,3,2,192,49,195,0,0,5,5
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1347,196,61,221,0,0,6,9,167,51,188,0,0,4,5,29,10,33,0,0,2,4,29,51,188,0,0,2,5
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent2,2,DICF+AC0-PB+AC0-Async,0,1,1444,285,107,410,0,0,7,9,174,84,327,0,0,4,5,111,23,83,0,0,3,4,174,84,327,0,0,4,5
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent2,2,DICF+AC0-PB+AC0-NewAsync,0,1,1464,294,60,248,0,0,10,8,156,46,186,0,0,6,5,138,14,62,0,0,4,3,156,46,186,0,0,4,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,1343,206,55,217,0,0,6,7,185,31,124,0,0,4,4,21,24,93,0,0,2,3,185,31,124,0,0,4,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1350,278,66,254,0,0,6,8,245,55,212,0,0,4,5,33,11,42,0,0,2,3,33,55,212,0,0,2,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,1458,309,156,620,0,0,6,8,174,107,433,0,0,3,5,135,49,187,0,0,3,3,174,107,433,0,0,3,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,1,1449,302,58,245,0,0,10,8,153,39,166,0,0,6,5,149,19,79,0,0,4,3,149,39,166,0,0,4,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent4,4,DICF+AC0-PB+AC0-Star,0,1,1518,305,111,448,0,0,18,26,230,51,209,0,0,9,13,7,8,38,0,0,3,2,230,51,209,0,0,9,13
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent4,4,DICF+AC0-PB+AC0-NewAsync,0,1,1432,266,35,158,0,0,26,22,87,11,51,0,0,8,7,28,7,32,0,0,5,4,87,10,43,0,0,6,5
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1393,247,78,327,0,0,18,21,76,34,153,0,0,9,9,37,7,28,0,0,3,3,58,7,28,0,0,3,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-agent4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1365,237,102,425,0,0,18,25,189,62,244,0,0,9,11,10,10,44,0,0,3,4,25,20,87,0,0,3,5
