problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,1,71,61,26,94,0,0,0,0,61,26,94,0,0,0,0,61,26,94,0,0,0,0,61,26,94,0,0,0,0
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,1,65,57,30,102,0,0,0,0,57,30,102,0,0,0,0,57,30,102,0,0,0,0,57,30,102,0,0,0,0
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,1,65,57,30,102,0,0,0,0,57,30,102,0,0,0,0,57,30,102,0,0,0,0,57,30,102,0,0,0,0
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,1104,67,55,217,0,0,6,7,59,31,124,0,0,4,4,8,24,93,0,0,2,3,59,31,124,0,0,4,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1102,69,66,254,0,0,6,8,55,55,212,0,0,4,5,14,11,42,0,0,2,3,14,55,212,0,0,2,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,1103,96,156,620,0,0,6,8,54,107,433,0,0,3,5,42,49,187,0,0,3,3,42,107,433,0,0,3,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,1,1103,89,59,247,0,0,11,9,46,33,141,0,0,7,6,43,26,106,0,0,4,3,43,33,141,0,0,4,3
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,1,1120,100,125,542,0,0,22,35,62,33,142,0,0,11,17,11,29,125,0,0,3,5,62,30,142,0,0,11,17
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,1,1121,137,48,246,0,0,44,40,47,18,95,0,0,15,14,25,10,52,0,0,9,8,40,10,52,0,0,10,9
PUZ029+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1119,120,213,921,0,0,18,36,81,117,502,0,0,9,18,10,17,73,0,0,3,5,10,17,73,0,0,3,7
