problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ029-1.C2i1_all_ld-1--1;Mono;1;sOLAR;0;1;300;186;36;124;0;0;0;0;186;36;124;0;0;0;0;186;36;124;0;0;0;0;186;36;124;0;0;0;0
PUZ029-1.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Star;0;1;1404;191;45;168;0;0;6;3;156;42;155;0;0;4;2;35;3;13;0;0;2;1;35;42;155;0;0;4;1
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Star;0;1;1348;310;158;671;0;0;8;8;221;139;583;0;0;5;5;89;19;88;0;0;3;3;89;139;583;0;0;5;3
PUZ029-1.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Star-FixedRoot-1;0;1;1448;252;46;176;0;0;6;4;214;42;155;0;0;4;3;38;4;21;0;0;2;1;38;42;155;0;0;2;1
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;1;1419;317;156;660;0;0;6;6;217;137;572;0;0;4;4;100;19;88;0;0;2;2;100;137;572;0;0;2;2
PUZ029-1.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Async;0;1;1446;246;45;168;0;0;4;3;207;42;155;0;0;2;2;39;3;13;0;0;2;1;39;42;155;0;0;2;1
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Async;0;1;2447;322;156;660;0;0;5;6;220;137;572;0;0;3;4;102;19;88;0;0;2;2;102;137;572;0;0;2;2
PUZ029-1.C2i1_all_ld-1--1;_agent2;2;DICF-PB-NewAsync;0;1;1457;267;31;126;0;0;6;4;226;24;90;0;0;4;3;41;7;36;0;0;2;1;41;24;90;0;0;2;1
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-NewAsync;0;1;1366;225;32;143;0;0;7;5;199;17;78;0;0;5;4;26;15;65;0;0;2;1;26;15;65;0;0;2;1
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star;0;1;1402;266;103;475;0;0;22;21;167;53;224;0;0;11;10;9;3;13;0;0;2;2;38;41;206;0;0;11;10
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star;0;1;1386;279;104;537;0;0;28;32;181;46;226;0;0;14;16;19;13;76;0;0;4;5;52;46;226;0;0;14;16
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-NewAsync;0;1;2409;372;54;289;0;0;49;45;210;16;77;0;0;14;13;49;11;65;0;0;9;8;49;14;76;0;0;14;13
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-NewAsync;0;1;2399;376;70;384;0;0;48;44;216;24;131;0;0;15;14;53;15;72;0;0;9;8;53;15;90;0;0;15;14
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star-FixedRoot-1;0;1;1364;309;153;759;0;0;28;42;196;65;288;0;0;14;22;22;23;117;0;0;4;4;29;27;130;0;0;5;4
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-1;0;1;1362;293;146;722;0;0;24;28;171;69;329;0;0;12;13;19;10;47;0;0;3;4;50;54;280;0;0;4;7
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star-FixedRoot-2;0;1;1380;319;184;889;0;0;26;33;171;79;337;0;0;13;21;34;9;46;0;0;3;4;34;37;174;0;0;5;4
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-2;0;1;1389;311;143;757;0;0;24;34;211;54;280;0;0;12;18;22;19;107;0;0;3;3;51;54;280;0;0;3;7
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star-FixedRoot-3;0;1;1387;249;87;431;0;0;22;25;159;51;239;0;0;11;10;14;6;30;0;0;3;3;23;22;114;0;0;4;4
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-3;0;1;1365;284;117;619;0;0;26;25;172;48;253;0;0;13;10;29;13;66;0;0;4;5;29;24;122;0;0;4;5
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Token;0;1;1500;317;89;460;0;0;21;27;202;40;191;0;0;6;8;25;9;53;0;0;4;5;34;28;147;0;0;6;6
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Token;0;1;1500;353;112;580;0;0;26;31;243;42;199;0;0;7;9;35;21;123;0;0;6;7;39;42;199;0;0;7;9
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Async;0;1;2517;420;164;756;0;0;30;42;215;74;314;0;0;9;19;47;9;47;0;0;7;6;78;48;231;0;0;7;8
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Async;0;1;2482;407;168;911;0;0;35;47;223;65;357;0;0;9;16;39;27;133;0;0;8;9;84;65;357;0;0;9;16
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;1;1508;274;76;360;0;0;18;20;201;47;205;0;0;6;6;6;6;33;0;0;4;4;23;15;78;0;0;4;4
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;1;1432;295;101;525;0;0;29;30;176;48;249;0;0;9;11;15;7;37;0;0;6;4;58;48;249;0;0;9;11
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Token-FixedOrder-2-1-0-3;0;1;1445;258;76;360;0;0;17;20;182;47;205;0;0;5;6;7;6;33;0;0;4;4;23;15;78;0;0;4;4
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-2-1-0-3;0;1;1421;304;129;643;0;0;26;30;175;57;303;0;0;8;11;19;7;37;0;0;6;4;64;57;303;0;0;8;11
PUZ029-1.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Token-FixedOrder-1-0-3-2;0;1;1402;238;76;360;0;0;16;20;168;47;205;0;0;5;6;6;6;33;0;0;3;4;23;15;78;0;0;4;4
