problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ001-3_all_ld-1--1;Mono;1;SOLAR-Carc;0;37;237;117;833;2964;0;0;0;0;117;833;2964;0;0;0;0;117;833;2964;0;0;0;0;117;833;2964;0;0;0;0
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Seq-MaxClSize;1;37;4170;102;389;1290;56;12;76;2300;54;224;785;32;8;34;1206;24;52;157;8;0;15;375;24;224;785;32;0;34;1206
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Seq-MaxClSize;3;37;7030;127;567;1753;74;13;98;3107;47;269;953;36;7;38;1299;19;6;19;3;0;9;96;19;269;953;36;0;38;1299
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-MaxClSize;4;37;5176;109;426;1521;62;16;92;2951;34;291;1149;33;6;35;1253;14;10;31;3;0;8;211;34;291;1149;33;0;35;1253
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-MaxClSize;4;37;4410;108;426;1521;62;16;92;2951;34;291;1149;33;6;35;1253;13;10;31;3;0;8;211;34;291;1149;33;0;35;1253
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Par-MaxClSize;1;37;12341;616;32008;139142;130;15;154;7269;557;31851;138667;103;11;105;5899;27;52;157;8;0;15;375;557;31851;138667;103;0;105;5899
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-MaxClSize;3;37;14383;162;1850;6285;134;23;169;7908;90;1547;5477;96;17;98;5592;10;6;19;3;0;9;96;90;1547;5477;96;0;98;5592
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Par-MaxClSize;4;37;9747;160;2626;10166;106;21;143;6043;95;2504;9834;77;9;79;4128;12;10;31;3;0;8;211;95;2504;9834;77;0;79;4128
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Seq-FixedRoot-0;0;37;23232;271;9817;33081;135;25;168;9062;155;8137;26658;73;17;93;5404;18;373;881;29;0;35;1220;18;1307;5542;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Seq-FixedRoot-1;1;37;4277;103;389;1290;56;12;76;2300;57;224;785;32;8;34;1206;21;52;157;8;0;15;375;25;224;785;32;0;34;1206
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Seq-FixedRoot-2;2;37;5462;183;2796;10667;74;12;94;4111;84;2371;9629;37;8;40;2438;24;52;157;8;0;15;375;75;2371;9629;37;0;39;1298
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;37;7503;245;7017;30396;83;21;115;4986;114;6262;28420;39;15;57;3223;24;6;19;3;0;9;96;114;6262;28420;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;37;11056;159;1630;5180;95;29;135;5783;84;699;2370;39;15;57;3223;9;6;19;3;0;9;96;9;300;987;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;37;9136;126;706;2268;86;17;114;3954;52;381;1367;38;7;48;1862;2;33;120;8;0;14;380;2;33;120;13;0;15;380
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-3;3;37;6644;123;567;1753;74;13;98;3107;45;269;953;36;7;38;1299;19;6;19;3;0;9;96;19;269;953;36;0;38;1299
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-FixedRoot-0;0;37;10837;311;12060;51881;101;37;152;7144;152;10242;46982;50;27;80;4755;15;10;31;3;0;8;211;152;10242;46982;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-FixedRoot-1;1;37;27714;519;25777;103918;162;52;228;11770;302;19797;79838;64;27;84;4837;18;18;51;5;0;11;312;58;4172;19212;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-FixedRoot-2;2;37;11124;169;1168;3973;111;45;170;6607;47;421;1760;36;21;60;2736;18;10;31;3;0;8;211;19;407;1760;35;0;37;1345
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-FixedRoot-3;3;37;6457;139;823;2921;78;27;119;4153;44;465;1899;33;16;45;1786;18;10;31;3;0;8;211;31;465;1899;33;0;35;1315
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Seq-FixedRoot-4;4;37;4407;111;426;1521;62;16;92;2951;34;291;1149;33;6;35;1253;14;10;31;3;0;8;211;34;291;1149;33;0;35;1253
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Par-FixedRoot-0;0;37;12385;266;8034;27311;135;28;172;9190;167;7523;26013;73;20;97;5532;30;138;417;29;0;35;1220;30;138;417;33;0;35;1220
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;37;10792;165;1865;5873;110;33;155;7933;90;1672;5006;58;27;89;5824;16;6;19;3;0;9;96;28;137;695;41;0;43;1566
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Par-FixedRoot-1;1;37;12139;606;32008;139142;130;15;154;7269;538;31851;138667;103;11;105;5899;25;52;157;8;0;15;375;538;31851;138667;103;0;105;5899
PUZ001-3_all_ld-1--1;_kmet3;3;DCF-PB-Par-FixedRoot-2;2;37;6559;124;633;1623;77;12;97;4248;61;373;881;40;8;42;2438;28;52;157;8;0;15;375;28;208;585;40;0;42;1435
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;37;10926;169;1865;5873;110;33;155;7933;95;1672;5006;58;27;89;5824;19;6;19;3;0;9;96;34;137;695;41;0;43;1566
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;37;12165;181;2077;6612;127;45;186;9196;98;1672;5006;58;27;89;5824;14;6;19;3;0;9;96;29;132;462;41;0;43;1562
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;37;16078;176;2251;7469;146;43;203;10045;91;1782;5796;72;23;100;5810;19;50;153;8;0;14;447;19;172;884;39;0;41;2015
PUZ001-3_all_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;37;14415;170;1850;6285;134;23;169;7908;90;1547;5477;96;17;98;5592;13;6;19;3;0;9;96;90;1547;5477;96;0;98;5592
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Par-FixedRoot-0;0;37;9621;173;2772;8843;114;56;187;9159;93;2575;8191;59;42;106;6390;14;10;31;3;0;8;211;31;111;423;37;0;39;1408
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Par-FixedRoot-1;1;37;100847;64045;4038574;17883338;176;83;279;14561;63915;4035792;17874466;64;42;106;6390;17;18;51;5;0;11;312;19;131;483;38;0;40;1455
PUZ001-3_all_ld-1--1;_kmet5;5;DCF-PB-Par-FixedRoot-4;4;37;10213;156;2626;10166;106;21;143;6043;93;2504;9834;77;9;79;4128;12;10;31;3;0;8;211;93;2504;9834;77;0;79;4128
PUZ001-3_all_ld1--1;Mono;1;SOLAR-Carc;0;19;163;87;570;1645;0;0;0;0;87;570;1645;0;0;0;0;87;570;1645;0;0;0;0;87;570;1645;0;0;0;0
PUZ001-3_all_ld1--1;_kmet3;3;DCF-PB-Seq-MaxClSize;1;19;1899;88;290;860;32;11;51;1101;55;131;368;14;7;22;487;12;52;157;6;0;13;280;12;131;368;14;0;16;334
