problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
var-pathwayPb-large-div4-keep0_max-1_ld-1--1;Mono;1;SOLAR-Carc;0;5;855;431;40888;90112;0;0;0;0;431;40888;90112;0;0;0;0;431;40888;90112;0;0;0;0;431;40888;90112;0;0;0;0
sub-ii8a1_div2k0_max-10_ld-1--1;_kmet4;4;DCF-PB-Seq-MaxClSize;0;3;1125;372;29126;95124;6;31;48;802;255;27016;89412;3;18;22;433;6;71;165;1;0;5;42;6;844;2333;3;0;5;42
sub-medium_div8k0_max-20_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;20;1945;360;37115;120380;36;36;83;995;137;25615;81236;13;16;28;373;38;191;475;5;0;15;148;137;25615;81236;13;0;15;158
sub-medium_div8k0_max-20_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;20;2345;407;37644;121610;36;38;86;1060;219;27354;84840;13;16;28;381;28;191;475;5;0;15;148;61;5687;18757;13;0;15;158
sub-medium_div8k0_max-20_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;20;2392;389;36979;118298;39;43;96;1161;212;27354;84840;14;21;37;462;27;191;475;5;0;15;148;53;1654;6050;14;0;16;170
sub-medium_div8k0_max-20_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;20;4063;1679;141587;730074;33;49;96;1416;1519;135663;707767;10;20;35;688;18;432;1606;6;0;10;98;18;432;1606;8;0;10;98
sub-medium_div8k0_max-20_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;20;1956;196;6774;24361;34;36;82;948;103;4412;17538;14;16;28;373;24;191;475;5;0;15;148;33;1091;3185;14;0;16;170
sub-medium_div8k0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;1;1070;171;4695;16811;1;22;35;372;102;4044;15113;1;9;12;181;18;191;475;0;0;3;14;31;220;546;1;0;3;14
sub-medium_div8k0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;1;1070;348;31986;101498;1;31;44;556;208;27354;84840;1;15;20;285;21;191;475;0;0;2;2;21;397;1070;0;0;2;2
sub-medium_div8k0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;1;1070;351;33481;105676;1;36;51;604;234;27354;84840;1;15;20;285;17;191;475;0;0;2;2;17;338;1009;0;0;2;2
sub-medium_div8k0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;1;1070;171;4896;17435;2;17;31;342;91;4044;15113;1;9;12;181;22;110;262;0;0;3;14;26;110;262;1;0;3;14
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;5;1074;306;29193;73955;7;19;38;729;119;13915;34843;4;8;16;355;33;1094;2587;0;0;5;38;33;1094;2587;3;0;5;38
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-MaxClSize;0;5;1117;298;33757;86062;5;13;29;468;145;13915;34843;3;8;11;243;21;4539;11898;0;0;5;58;24;6054;15433;3;0;5;74
glucolysis_max-5_ld-1--1;_kmet6;6;DCF-PB-Seq-MaxClSize;1;5;1132;216;17145;44754;6;22;45;701;69;10942;28796;2;8;11;240;5;337;853;0;0;4;55;46;10942;28796;2;0;4;62
glucolysis_max-5_ld-1--1;_kmet8;8;DCF-PB-Seq-MaxClSize;1;5;1144;171;8385;21992;5;26;54;790;57;2839;7545;2;8;11;224;2;216;539;0;0;4;47;11;2564;6661;2;0;4;62
glucolysis_max-5_ld-1--1;_kmet12;12;DCF-PB-Seq-MaxClSize;11;5;1990;326;29133;81328;27;82;144;3272;121;19647;55338;6;25;34;985;2;70;186;0;0;4;37;2;381;1022;3;0;5;38
glucolysis_max-5_ld-1--1;_kmet16;16;DCF-PB-Seq-MaxClSize;5;5;1290;146;3293;9101;8;50;105;1526;31;870;2537;2;6;9;234;1;29;79;0;0;4;35;3;559;1545;2;0;4;62
glucolysis_all_ld1--1;_kmet4;4;DCF-PB-Seq-MaxClSize;0;62;61555;41496;10022408;26630203;64;123;198;4665;38037;9753955;25714131;53;69;72;2078;384;20278;73424;0;0;13;150;38037;9753955;25714131;11;0;13;150
glucolysis_all_ld1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;62;61527;41842;10022408;26630203;64;123;198;4665;38303;9753955;25714131;53;69;72;2078;388;20278;73424;0;0;13;150;38303;9753955;25714131;11;0;13;150
glucolysis_all_ld1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;62;22335;12085;3086235;7861473;64;96;171;3837;10382;2963583;7450339;53;52;58;1596;344;20278;73424;0;0;2;2;10382;2963583;7450339;0;0;2;2
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;5;1207;284;31654;80560;5;13;29;459;197;13915;34843;2;8;11;243;28;4539;11898;0;0;4;58;31;7800;19619;2;0;4;62
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;5;1071;229;24791;63676;7;14;32;536;146;11783;30518;4;8;15;353;8;1688;4360;0;0;3;15;8;2071;4910;1;0;3;15
glucolysis_max-6_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;9;1109;338;46882;122497;14;19;44;862;172;30883;81008;9;10;22;544;8;1785;4615;1;0;3;15;8;2071;4910;1;0;3;15
glucolysis_max-6_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;9;1074;285;34089;87100;9;13;33;569;187;13915;34843;6;8;11;243;27;4539;11898;0;0;7;58;42;10235;26159;6;0;8;172
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;5;1074;230;24791;63676;7;14;32;536;147;11783;30518;4;8;15;353;8;1688;4360;0;0;3;15;8;2071;4910;1;0;3;15
glucolysis_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;5;1075;275;31654;80560;5;13;29;459;189;13915;34843;2;8;11;243;27;4539;11898;0;0;4;58;32;7800;19619;2;0;4;62
