problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
uf20-01_all_ld1-5;Mono;1;SOLAR-Carc;0;8;7702;4858;1363865;3603278;0;0;0;0;4858;1363865;3603278;0;0;0;0;4858;1363865;3603278;0;0;0;0;4858;1363865;3603278;0;0;0;0
uf20-01_all_ld1-5;_kmet16;16;DCF-PB-Seq-MaxClSize;0;0;600005;3818;260583;1205922;0;95;141;1519;3661;258168;1198649;0;18;21;280;0;0;0;0;0;1;0;0;0;0;0;0;1;0
uf20-01_all_ld1-5;_kmet16;16;DCF-PB-Par-MaxClSize;0;0;600003;50895;4456306;18528122;0;116;163;2028;29193;3224498;12581623;0;39;43;789;2;60;182;0;0;1;0;29193;3224498;12581623;0;0;1;0
uf20-01_all_ld1-5;Mono;1;SOLAR-Carc;0;8;29626;5610;1363865;3603278;0;0;0;0;5610;1363865;3603278;0;0;0;0;5610;1363865;3603278;0;0;0;0;5610;1363865;3603278;0;0;0;0
uf20-01_all_ld1-5;_kmet4;4;DCF-PB-Seq-MaxClSize;0;0;600004;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
uf20-01_all_ld1-5;_kmet4;4;DCF-PB-Par-MaxClSize;0;0;600001;97;13926;50532;0;0;4;0;97;13926;50532;0;0;1;0;0;0;0;0;0;1;0;97;13926;50532;0;0;1;0
uf20-01_max-20_ld-1-5;Mono;1;SOLAR-Carc;0;4;12698;1175;251291;655196;0;0;0;0;1175;251291;655196;0;0;0;0;1175;251291;655196;0;0;0;0;1175;251291;655196;0;0;0;0
uf20-01_max-20_ld-1-5;_kmet16;16;DCF-PB-Seq-MaxClSize;0;2;600005;4001;229168;1038818;3;95;144;1565;3887;226753;1031545;1;18;22;295;0;0;0;0;0;1;0;0;0;0;0;0;1;0
uf20-01_max-20_ld-1-5;_kmet16;16;DCF-PB-Par-MaxClSize;0;3;600011;3776;198242;885134;4;146;197;2849;3432;165520;768219;1;69;74;1563;1;60;182;0;0;2;16;247;30307;109642;1;0;2;16
uf20-01_max-20_ld-1-5;Mono;1;SOLAR-Carc;0;4;10360;1061;251291;655196;0;0;0;0;1061;251291;655196;0;0;0;0;1061;251291;655196;0;0;0;0;1061;251291;655196;0;0;0;0
uf20-01_max-20_ld-1-5;_kmet4;4;DCF-PB-Seq-MaxClSize;0;0;600002;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
uf20-01_max-20_ld-1-5;_kmet4;4;DCF-PB-Par-MaxClSize;0;0;600000;16;2891;10162;0;0;4;0;16;2891;10162;0;0;1;0;0;0;0;0;0;1;0;16;2891;10162;0;0;1;0
