problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
./glucolysis_max-4_ld-1--1;Mono;1;SOLAR-Carc;0;3;5516;3644;592581;1461976;0;0;0;0;3644;592581;1461976;0;0;0;0;3644;592581;1461976;0;0;0;0;3644;592581;1461976;0;0;0;0
./glucolysis_max-4_ld-1--1;Mono;1;SOLAR-NC;0;3;375;144;5150;12655;0;0;0;0;144;5150;12655;0;0;0;0;144;5150;12655;0;0;0;0;144;5150;12655;0;0;0;0
./glucolysis_max-4_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;3;1194;306;32258;82074;3;13;27;408;146;13915;34843;2;8;11;243;19;4465;11643;0;0;3;14;19;4629;11643;1;0;3;14
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Async;0;3;3074;119;1233;3240;0;0;17;20;55;605;1586;0;0;6;7;12;50;124;0;0;2;3;30;475;1272;0;0;6;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Star-FixedRoot-0;0;3;5093;115;1288;3379;0;0;24;29;54;605;1586;0;0;12;15;9;50;124;0;0;4;3;29;483;1295;0;0;12;15
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Star-FixedRoot-1;0;3;6112;113;1274;3351;0;0;22;34;49;618;1626;0;0;11;16;11;50;123;0;0;3;5;26;503;1344;0;0;4;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Star-FixedRoot-2;0;3;7141;118;1293;3411;0;0;26;34;54;605;1586;0;0;13;18;19;50;124;0;0;4;3;25;519;1382;0;0;5;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Star-FixedRoot-3;0;3;6080;115;1188;3131;0;0;22;33;56;605;1586;0;0;11;18;11;65;181;0;0;3;3;26;415;1106;0;0;4;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-1-2-3;0;3;5089;119;1294;3402;0;0;26;38;57;609;1599;0;0;7;11;10;54;138;0;0;5;7;29;478;1281;0;0;7;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-1-3-2;0;3;4100;120;1247;3283;0;0;21;38;53;611;1605;0;0;6;11;18;52;130;0;0;5;8;24;478;1280;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-2-1-3;0;3;6113;123;1211;3197;0;0;24;53;59;614;1614;0;0;7;19;9;66;188;0;0;5;8;31;446;1189;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-2-3-1;0;3;5083;120;1351;3562;0;0;25;38;51;609;1599;0;0;8;13;18;52;130;0;0;5;7;27;582;1558;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-3-1-2;0;3;6095;122;1250;3300;0;0;26;52;50;609;1599;0;0;9;19;18;52;130;0;0;5;7;30;423;1132;0;0;9;19
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-0-3-2-1;0;3;4094;119;1247;3285;0;0;23;38;52;611;1606;0;0;7;12;17;52;130;0;0;5;8;25;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-0-2-3;0;3;4097;119;1351;3562;0;0;26;38;52;609;1599;0;0;8;13;17;52;130;0;0;6;7;27;582;1558;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-0-3-2;0;3;4093;119;1247;3285;0;0;24;38;51;611;1606;0;0;8;12;16;52;130;0;0;5;8;26;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-2-0-3;0;3;6104;126;1250;3300;0;0;28;52;53;609;1599;0;0;9;19;18;52;130;0;0;6;7;31;423;1132;0;0;9;19
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-2-3-0;0;3;4081;118;1294;3402;0;0;25;38;55;609;1599;0;0;7;11;11;54;138;0;0;5;7;27;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-3-0-2;0;3;6120;120;1211;3197;0;0;22;53;58;614;1614;0;0;7;19;9;66;188;0;0;4;8;29;446;1189;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-1-3-2-0;0;3;5105;117;1247;3283;0;0;20;38;52;611;1605;0;0;6;11;17;52;130;0;0;4;8;24;478;1280;0;0;4;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-0-1-3;0;3;5090;121;1247;3283;0;0;22;38;55;611;1605;0;0;7;11;18;52;130;0;0;5;8;25;478;1280;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-0-3-1;0;3;6079;126;1250;3300;0;0;27;52;52;609;1599;0;0;9;19;18;52;130;0;0;5;7;32;423;1132;0;0;9;19
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-1-0-3;0;3;4085;117;1247;3285;0;0;25;38;51;611;1606;0;0;8;12;16;52;130;0;0;5;8;25;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-1-3-0;0;3;6096;120;1211;3197;0;0;23;53;56;614;1614;0;0;7;19;9;66;188;0;0;5;8;30;446;1189;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-3-0-1;0;3;4093;119;1294;3402;0;0;24;38;58;609;1599;0;0;7;11;10;54;138;0;0;4;7;28;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-2-3-1-0;0;3;4085;119;1351;3562;0;0;24;38;51;609;1599;0;0;8;13;19;52;130;0;0;5;7;27;582;1558;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-0-1-2;0;3;4085;122;1294;3402;0;0;23;38;58;609;1599;0;0;7;11;11;54;138;0;0;4;7;29;478;1281;0;0;6;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-0-2-1;0;3;7128;119;1211;3197;0;0;21;53;56;614;1614;0;0;6;19;9;66;188;0;0;4;8;31;446;1189;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-1-0-2;0;3;5100;122;1351;3562;0;0;23;38;53;609;1599;0;0;7;13;18;52;130;0;0;5;7;29;582;1558;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-1-2-0;0;3;6109;124;1250;3300;0;0;25;52;51;609;1599;0;0;8;19;18;52;130;0;0;5;7;32;423;1132;0;0;8;19
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-2-0-1;0;3;4093;116;1247;3283;0;0;19;38;52;611;1605;0;0;6;11;17;52;130;0;0;4;8;24;478;1280;0;0;4;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Token-FixedOrder-3-2-1-0;0;3;4076;119;1247;3285;0;0;22;38;52;611;1606;0;0;7;12;16;52;130;0;0;5;8;25;478;1281;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Async;0;3;3001148;2224429;347145193;1190574741;0;0;35;141;2203252;343502631;1176715312;0;0;9;47;13;45;107;0;0;3;4;20110;3481807;13324540;0;0;4;47
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-DefaultOrder;0;3;27197;1570;247194;743043;0;0;42;193;1402;234349;703663;0;0;8;49;12;136;413;0;0;6;25;16;1957;5124;0;0;8;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-2-3-5-4;0;3;26242;1554;247060;742750;0;0;42;188;1390;234223;703398;0;0;8;49;14;129;381;0;0;6;23;17;1957;5124;0;0;8;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-2-4-3-5;0;3;28496;1586;246276;740702;0;0;42;192;1418;234223;703398;0;0;8;49;13;132;392;0;0;6;24;13;1236;3215;0;0;8;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-2-4-5-3;0;3;29232;1569;247798;744698;0;0;42;190;1400;235006;705438;0;0;9;50;16;131;388;0;0;6;23;18;1958;5128;0;0;9;33
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-2-5-3-4;0;3;26257;1562;246274;740678;0;0;42;185;1399;234223;703398;0;0;8;49;11;126;379;0;0;6;23;15;1236;3215;0;0;8;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-2-5-4-3;0;3;28239;1581;247078;742762;0;0;44;193;1416;234350;703667;0;0;9;50;8;122;372;0;0;6;25;18;1958;5128;0;0;9;33
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-3-2-4-5;0;3;60281;17493;2419306;9316251;0;0;44;243;9491;1152595;5244060;0;0;9;63;13;137;406;0;0;6;26;19;1962;5142;0;0;9;37
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-3-2-5-4;0;3;46344;8349;1369347;4314626;0;0;44;228;6764;1152621;3514450;0;0;9;58;15;129;381;0;0;6;23;15;1236;3215;0;0;7;29
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-4-2-3-5;0;3;57379;17565;2418588;9314355;0;0;42;239;9583;1152642;5243881;0;0;8;65;11;130;395;0;0;6;24;16;1240;3227;0;0;8;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-4-2-5-3;0;3;58286;17670;2419289;9316203;0;0;42;241;9653;1152583;5243893;0;0;9;67;12;137;416;0;0;6;26;17;1960;5133;0;0;9;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-5-2-3-4;0;3;55263;17509;2426608;9339846;0;0;42;232;9528;1152570;5244018;0;0;8;64;11;126;379;0;0;6;23;20;1957;5124;0;0;8;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-1-5-2-4-3;0;3;57318;17411;2426661;9340027;0;0;46;236;9414;1152670;5243910;0;0;9;67;10;122;367;0;0;6;23;19;1957;5125;0;0;9;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-3-1-2-4-5;0;3;34238;1889;295894;901835;0;0;44;229;1683;278284;844525;0;0;9;54;15;137;406;0;0;6;26;20;1962;5142;0;0;9;37
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-3-1-2-5-4;0;3;34304;1844;296035;902085;0;0;46;228;1646;279193;846830;0;0;9;52;8;122;372;0;0;6;25;17;1244;3242;0;0;9;41
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-3-1-4-2-5;0;3;63293;17678;2467467;9473547;0;0;46;266;9400;1196680;5243885;0;0;9;66;14;137;417;0;0;6;26;17;1241;3233;0;0;9;37
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-3-1-5-2-4;0;3;64438;17895;2467436;9473464;0;0;46;263;9541;1196706;5243892;0;0;9;65;17;131;388;0;0;6;25;17;1239;3225;0;0;9;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-4-1-2-3-5;0;3;33266;1871;296846;904229;0;0;41;223;1664;279192;846826;0;0;9;53;14;140;426;0;0;6;25;20;1964;5146;0;0;8;37
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-4-1-2-5-3;0;3;32277;1869;295148;899829;0;0;41;220;1668;278280;844512;0;0;9;53;11;126;379;0;0;6;25;19;1243;3237;0;0;8;37
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-4-1-3-2-5;0;3;63301;17738;2468098;9475184;0;0;42;261;9442;1196649;5243860;0;0;8;63;13;147;442;0;0;6;24;16;1961;5136;0;0;8;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-4-1-5-2-3;0;3;63301;17590;2468185;9475421;0;0;42;269;9366;1196649;5243907;0;0;9;65;14;233;653;0;0;6;26;18;1960;5133;0;0;9;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-5-1-2-3-4;0;3;34260;1870;296516;903504;0;0;48;233;1671;279584;848015;0;0;10;57;13;135;401;0;0;7;26;18;1240;3228;0;0;10;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-5-1-2-4-3;0;3;35302;1905;295628;901181;0;0;46;230;1706;278786;845933;0;0;10;55;12;132;391;0;0;6;26;19;1240;3228;0;0;10;36
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-5-1-3-2-4;0;3;69409;17737;2468165;9475390;0;0;46;271;9515;1196652;5244060;0;0;9;63;20;137;406;0;0;6;29;20;1963;5143;0;0;9;38
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-0-5-1-4-2-3;0;3;61308;17764;2468169;9475419;0;0;47;268;9575;1196699;5243881;0;0;10;65;14;140;416;0;0;7;28;19;1963;5144;0;0;9;35
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Star-FixedRoot-1;0;3;162234;100506;16769334;52830225;0;0;44;113;100347;16754517;52787758;0;0;21;50;10;38;92;0;0;4;5;42;8747;23648;0;0;4;23
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Star-FixedRoot-2;0;3;224511;138473;25445123;79262115;0;0;44;126;134876;24941247;77174683;0;0;21;63;9;38;91;0;0;4;5;15;2554;6824;0;0;5;23
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-Token-FixedOrder-4-3-5-2-1-0;0;3;27250;1574;246274;740669;0;0;31;185;1412;234223;703397;0;0;6;49;12;126;378;0;0;5;23;14;1236;3214;0;0;6;32
glucolysis_max-4_ld-1--1;_kmet8;8;DICF-Async;0;3;1766828;1450602;235876514;831196182;0;0;73;279;1429998;232680347;820336685;0;0;15;71;9;29;77;0;0;4;3;8122;1142039;4443711;0;0;14;71
glucolysis_max-4_ld-1--1;_kmet8;8;DICF-Token-DefaultOrder;0;3;52400;1871;294767;991863;0;0;90;336;1399;236524;802838;0;0;12;59;12;156;464;0;0;10;33;186;24868;92339;0;0;12;39
pathwayPb-large_max-1_ld2-6;Mono;1;SOLAR-NC;0;8;3005;1936;5753;12624;0;0;0;0;1936;5753;12624;0;0;0;0;1936;5753;12624;0;0;0;0;1936;5753;12624;0;0;0;0
glucolysis_max-20_ld-1--1;Mono;1;SOLAR-NC;0;73;1442;885;85405;235339;0;0;0;0;885;85405;235339;0;0;0;0;885;85405;235339;0;0;0;0;885;85405;235339;0;0;0;0
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Async;0;3;4186;121;1233;3240;0;0;17;20;55;605;1586;0;0;6;7;13;50;124;0;0;2;3;32;475;1272;0;0;6;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Async;0;3;4095;121;1233;3240;0;0;17;20;54;605;1586;0;0;6;7;13;50;124;0;0;2;3;31;475;1272;0;0;6;7
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Async;0;3;2097;140;681;1752;0;0;17;17;72;237;624;0;0;6;6;13;105;268;0;0;2;1;30;237;624;0;0;6;6
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-Async;0;3;2091;131;681;1752;0;0;17;17;64;237;624;0;0;6;6;11;105;268;0;0;2;1;28;237;624;0;0;6;6
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-FixedOrder-4-3-5-2-1-0;0;3;24172;1572;246274;740669;0;0;31;185;1417;234223;703397;0;0;6;49;12;126;378;0;0;5;23;12;1236;3214;0;0;6;32
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-4-3-5-2-1-0;0;3;4078;360;14854;39349;0;0;39;294;110;11120;30502;0;0;7;85;31;270;636;0;0;5;31;31;866;1915;0;0;7;31
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-3-2-4-5;0;3;5113;393;9973;26599;0;0;49;309;99;6422;17611;0;0;9;77;36;218;527;0;0;6;30;51;733;1620;0;0;9;30
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-2-3-4-5;0;3;4103;387;15791;41480;0;0;50;299;116;12289;33161;0;0;9;84;37;340;838;0;0;7;31;37;837;1828;0;0;9;31
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useNC-pruneCsq-FixedOrder-0-1-2-3-4-5;0;3;7111;496;25829;69946;0;0;42;191;178;19775;54688;0;0;8;50;45;397;935;0;0;6;25;54;3089;7823;0;0;8;29
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-2-3-4-5;0;3;5091;377;15791;41480;0;0;50;299;118;12289;33161;0;0;9;84;33;340;838;0;0;7;31;40;837;1828;0;0;9;31
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useNC-pruneCsq-FixedOrder-0-1-2-3-4-5;0;3;7122;521;25829;69946;0;0;42;191;199;19775;54688;0;0;8;50;49;397;935;0;0;6;25;56;3089;7823;0;0;8;29
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-2-3-5-4;0;3;4091;362;9134;23324;0;0;50;296;79;5236;14013;0;0;9;84;50;277;651;0;0;7;31;50;946;2106;0;0;9;31
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-2-4-3-5;0;3;4086;368;13620;35767;0;0;48;296;105;10235;27953;0;0;9;85;37;324;751;0;0;7;30;37;839;1839;0;0;9;31
glucolysis_max-4_ld-1--1;_kmet6;6;DICF-PB-Token-useRC-pruneCsq-FixedOrder-0-1-2-4-5-3;0;3;4100;342;10301;27026;0;0;48;256;93;6949;18744;0;0;9;73;38;245;583;0;0;6;26;38;733;1611;0;0;9;26
