problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;71;835989;640591;45178612;253263027;78;130;219;10980;637242;44694143;252119424;40;58;88;4806;35;4741;14249;0;0;2;2;35;4741;14249;0;0;2;2
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;71;8766;420;59739;150395;71;43;125;5082;184;39134;99927;61;22;63;3404;51;2109;5569;0;0;13;321;66;12787;31316;61;0;63;3404
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;71;757248;594035;45096861;253057993;78;82;171;7922;591284;44694143;252119424;40;45;88;4806;66;2109;5569;0;0;13;321;244;60263;136430;23;0;25;1339
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-3;3;71;14751;2704;370300;872746;71;66;148;6974;2475;340346;796570;40;45;88;4806;39;2109;5569;0;0;13;321;105;22136;57024;31;0;33;1492
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;71;775124;606722;45174278;253249603;78;173;265;13871;603270;44679709;252076347;40;73;101;5849;61;1799;4780;0;0;2;2;61;1799;4780;0;0;2;2
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;71;12011;381;25721;63217;71;43;128;5088;127;10344;24941;61;22;63;3404;48;2109;5569;0;0;13;321;127;10344;24941;61;0;63;3404
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;71;736045;575746;45035363;252909126;78;110;200;9680;573136;44679709;252076347;40;55;88;4806;47;2109;5569;0;0;13;321;108;13199;30640;23;0;25;1339
var-pathwayPb-large-div6-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;71;14967;2665;357349;839260;71;66;149;6976;2412;340346;796570;40;45;88;4806;73;2109;5569;0;0;13;321;107;8971;23011;31;0;33;1492
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;32;6206;297;18818;43987;57;61;131;3182;121;9387;22464;27;46;72;2003;29;785;1829;1;0;6;34;102;9387;22464;27;0;29;645
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;32;8060;383;30817;74000;71;75;159;3751;181;20109;48526;31;41;77;1983;49;785;1829;8;0;23;465;49;1227;3005;21;0;23;465
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;32;5088;316;28598;67951;52;36;99;2089;147;20109;48526;32;21;35;803;31;785;1829;1;0;6;34;90;6831;15651;32;0;34;752
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;32;7180;367;36051;86073;68;53;134;2870;165;20109;48526;32;30;59;1281;45;873;1945;1;0;6;34;56;1166;2722;32;0;34;752
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;32;4199;271;26177;64271;57;39;107;2252;73;15966;40772;27;24;48;1073;54;785;1829;1;0;6;34;72;15966;40772;27;0;29;645
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;32;5799;348;33545;80961;71;59;141;3089;196;20109;48526;31;25;59;1321;11;785;1829;8;0;23;465;11;1329;3220;21;0;23;465
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;32;4435;314;30059;71511;52;36;99;2089;179;20109;48526;32;21;35;803;33;785;1829;1;0;6;34;33;8292;19211;32;0;34;752
var-pathwayPb-large-div8-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-3;3;32;5932;347;38114;91089;68;53;132;2866;204;20109;48526;32;30;57;1277;9;873;1945;1;0;6;34;9;1347;3126;32;0;34;752
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;7;1126;119;1697;4108;11;6;27;586;40;589;1601;7;5;12;275;14;278;632;0;0;2;2;14;589;1601;7;0;9;238
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;7;1099;117;1677;4051;11;8;29;602;61;572;1548;6;5;12;275;6;278;632;0;0;2;2;6;439;948;1;0;3;62
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;7;1113;115;1474;3460;8;2;20;373;45;442;1044;6;1;8;178;9;278;632;0;0;2;2;9;348;832;6;0;8;178
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-3;3;7;1093;118;1697;4108;11;6;27;586;52;589;1601;7;5;12;275;5;278;632;0;0;2;2;5;278;632;0;0;2;2
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;7;1123;123;1550;3668;11;6;27;586;44;442;1161;7;5;12;275;22;278;632;0;0;2;2;34;442;1161;7;0;9;238
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;7;1108;129;1508;3545;11;8;30;604;40;444;1164;6;5;13;275;24;278;632;0;0;2;2;31;398;826;1;0;3;62
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;7;1108;120;1467;3436;8;2;20;373;56;442;996;6;1;8;178;20;278;632;0;0;2;2;23;358;856;6;0;8;178
var-pathwayPb-large-div16-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;7;1099;129;1550;3668;11;6;27;586;36;442;1161;7;5;12;275;29;278;632;0;0;2;2;29;278;632;0;0;2;2
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-0;0;17;1959;145;4647;11417;33;17;61;1462;50;2962;7386;17;8;21;547;24;80;187;2;0;8;123;24;2962;7386;17;0;19;547
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-1;1;17;2389;140;3545;8845;39;18;68;1731;62;1368;3302;16;8;21;544;8;237;559;2;0;8;123;8;578;1699;16;0;18;521
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-2;2;17;2685;151;5361;13223;40;22;73;1817;62;2719;6602;16;11;29;797;16;80;187;4;0;13;249;16;2269;5755;16;0;18;521
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Seq-FixedRoot-3;3;17;1322;122;2653;6528;28;14;53;1169;48;2043;5103;17;6;19;547;16;80;187;2;0;8;123;34;2043;5103;17;0;19;547
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-0;0;17;2596;137;2528;6278;37;21;70;1894;49;1156;3026;19;12;28;861;27;80;187;2;0;8;123;29;1156;3026;19;0;21;661
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-1;1;17;3323;135;2495;6173;45;23;81;2329;48;1055;2506;18;12;28;861;18;237;559;2;0;8;123;39;426;1248;18;0;20;635
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-2;2;17;2879;153;3004;7539;43;25;81;2174;66;1678;4248;17;14;35;1100;25;80;187;4;0;13;249;28;983;2494;17;0;19;573
var-pathwayPb-large-div32-keep0_max-5_ld-1--1;_kmet4;4;DCF-PB-Par-FixedRoot-3;3;17;1926;121;1666;4073;31;14;57;1332;51;1086;2717;20;6;22;708;13;80;187;2;0;8;123;51;1086;2717;20;0;22;708
