problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
uf20-01_all_ld1-5;Mono;1;SOLAR-Carc;0;8;8181;4880;1363865;3603278;0;0;0;0;4880;1363865;3603278;0;0;0;0;4880;1363865;3603278;0;0;0;0;4880;1363865;3603278;0;0;0;0
uf20-01_all_ld1-5;Mono;1;SOLAR-Carc;0;8;6632;4594;1363865;3603278;0;0;0;0;4594;1363865;3603278;0;0;0;0;4594;1363865;3603278;0;0;0;0;4594;1363865;3603278;0;0;0;0
uf20-01_max-20_ld-1-5;Mono;1;SOLAR-Carc;0;4;1412;943;251291;655196;0;0;0;0;943;251291;655196;0;0;0;0;943;251291;655196;0;0;0;0;943;251291;655196;0;0;0;0
uf20-01_max-20_ld-1-5;Mono;1;SOLAR-Carc;0;4;1252;924;251291;655196;0;0;0;0;924;251291;655196;0;0;0;0;924;251291;655196;0;0;0;0;924;251291;655196;0;0;0;0
par8-1-c_all_ld2-3;Mono;1;SOLAR-Carc;0;250;787;482;129693;355655;0;0;0;0;482;129693;355655;0;0;0;0;482;129693;355655;0;0;0;0;482;129693;355655;0;0;0;0
par8-1-c_all_ld2-3;Mono;1;SOLAR-Carc;0;250;759;478;129693;355655;0;0;0;0;478;129693;355655;0;0;0;0;478;129693;355655;0;0;0;0;478;129693;355655;0;0;0;0
par8-1-c_max-5_ld-1-7;Mono;1;SOLAR-Carc;0;4;23022;15930;4407608;11653346;0;0;0;0;15930;4407608;11653346;0;0;0;0;15930;4407608;11653346;0;0;0;0;15930;4407608;11653346;0;0;0;0
par8-1-c_max-5_ld-1-7;Mono;1;SOLAR-Carc;0;4;23540;15882;4407608;11653346;0;0;0;0;15882;4407608;11653346;0;0;0;0;15882;4407608;11653346;0;0;0;0;15882;4407608;11653346;0;0;0;0
ii8a1_all_ld2-4;Mono;1;SOLAR-Carc;0;219;5307;3227;989779;2180212;0;0;0;0;3227;989779;2180212;0;0;0;0;3227;989779;2180212;0;0;0;0;3227;989779;2180212;0;0;0;0
ii8a1_all_ld2-4;Mono;1;SOLAR-Carc;0;219;4512;3218;989779;2180212;0;0;0;0;3218;989779;2180212;0;0;0;0;3218;989779;2180212;0;0;0;0;3218;989779;2180212;0;0;0;0
ii8a1_min-5_ld-1-5;Mono;1;SOLAR-Carc;0;1;121;54;17017;36889;0;0;0;0;54;17017;36889;0;0;0;0;54;17017;36889;0;0;0;0;54;17017;36889;0;0;0;0
ii8a1_min-5_ld-1-5;Mono;1;SOLAR-Carc;0;1;98;53;17017;36889;0;0;0;0;53;17017;36889;0;0;0;0;53;17017;36889;0;0;0;0;53;17017;36889;0;0;0;0
flat30-1_all_ld2-6;Mono;1;SOLAR-Carc;0;411;16159;11591;3464713;8280050;0;0;0;0;11591;3464713;8280050;0;0;0;0;11591;3464713;8280050;0;0;0;0;11591;3464713;8280050;0;0;0;0
flat30-1_all_ld2-6;Mono;1;SOLAR-Carc;0;411;16008;11610;3464713;8280050;0;0;0;0;11610;3464713;8280050;0;0;0;0;11610;3464713;8280050;0;0;0;0;11610;3464713;8280050;0;0;0;0
flat30-1_max-20_ld2-8;Mono;1;SOLAR-Carc;0;57;24601;16425;4876134;11630325;0;0;0;0;16425;4876134;11630325;0;0;0;0;16425;4876134;11630325;0;0;0;0;16425;4876134;11630325;0;0;0;0
flat30-1_max-20_ld2-8;Mono;1;SOLAR-Carc;0;57;23589;16371;4876134;11630325;0;0;0;0;16371;4876134;11630325;0;0;0;0;16371;4876134;11630325;0;0;0;0;16371;4876134;11630325;0;0;0;0
medium_all_ld1-4;Mono;1;SOLAR-Carc;0;26;7115;5228;1940083;4247916;0;0;0;0;5228;1940083;4247916;0;0;0;0;5228;1940083;4247916;0;0;0;0;5228;1940083;4247916;0;0;0;0
medium_all_ld1-4;Mono;1;SOLAR-Carc;0;26;7241;5236;1940083;4247916;0;0;0;0;5236;1940083;4247916;0;0;0;0;5236;1940083;4247916;0;0;0;0;5236;1940083;4247916;0;0;0;0
medium_min-5_ld-1-5;Mono;1;SOLAR-Carc;0;11;9020;5587;1856309;4136744;0;0;0;0;5587;1856309;4136744;0;0;0;0;5587;1856309;4136744;0;0;0;0;5587;1856309;4136744;0;0;0;0
medium_min-5_ld-1-5;Mono;1;SOLAR-Carc;0;11;8538;5540;1856309;4136744;0;0;0;0;5540;1856309;4136744;0;0;0;0;5540;1856309;4136744;0;0;0;0;5540;1856309;4136744;0;0;0;0
ssa7552-159_all_ld1-3;Mono;1;SOLAR-Carc;0;94;42291;34570;13606688;34510145;0;0;0;0;34570;13606688;34510145;0;0;0;0;34570;13606688;34510145;0;0;0;0;34570;13606688;34510145;0;0;0;0
ssa7552-159_all_ld1-3;Mono;1;SOLAR-Carc;0;94;40955;34389;13606688;34510145;0;0;0;0;34389;13606688;34510145;0;0;0;0;34389;13606688;34510145;0;0;0;0;34389;13606688;34510145;0;0;0;0
